Drop,Horizontal_Break,Induced_Vertical_Break,Pitch_Type,Pitch_Vel,In_Play,Spin,sword_num,batters::k_percent,batters::bb_percent,batters::woba,batters::xwoba,batters::sweet_spot_percent,batters::barrel_batted_rate,batters::hard_hit_percent,batters::avg_best_speed,batters::avg_hyper_speed,batters::whiff_percent,batters::swing_percent
30,5,5,Cutter,88.3,0,2496,0,25.7,15.2,.492,.457,38.2,24.6,55.3,107.0517133,98.596051106,36.6,46.1
33,7,4,Cutter,86.3,0,2426,0,25.7,15.2,.492,.457,38.2,24.6,55.3,107.0517133,98.596051106,36.6,46.1
32,5,4,Cutter,86.8,0,2401,0,25.7,15.2,.492,.457,38.2,24.6,55.3,107.0517133,98.596051106,36.6,46.1
20,16,13,Sinker,92.0,0,2155,0,25.7,15.2,.492,.457,38.2,24.6,55.3,107.0517133,98.596051106,36.6,46.1
53,5,-9,Curveball,79.2,0,2894,0,25.7,15.2,.492,.457,38.2,24.6,55.3,107.0517133,98.596051106,36.6,46.1
14,6,18,4-Seam Fastball,94.2,0,2258,0,25.7,15.2,.492,.457,38.2,24.6,55.3,107.0517133,98.596051106,36.6,46.1
38,13,-3,Changeup,88.1,0,1900,0,,,,,,,,,,,
55,12,-12,Curveball,79.8,0,2839,0,,,,,,,,,,,
56,13,-13,Curveball,79.6,0,2926,0,,,,,,,,,,,
17,8,14,4-Seam Fastball,93.4,0,2558,0,,,,,,,,,,,
34,16,2,Changeup,87.0,1,1900,0,,,,,,,,,,,
16,8,16,4-Seam Fastball,92.6,0,2750,0,,,,,,,,,,,
16,12,15,4-Seam Fastball,93.3,0,2704,0,,,,,,,,,,,
27,15,5,Sinker,92.3,1,2461,0,,,,,,,,,,,
25,16,7,Sinker,92.8,0,2559,0,,,,,,,,,,,
14,8,17,4-Seam Fastball,93.5,1,2221,0,23.1,13.1,.360,.374,35.8,13.9,43,100.380055488,94.621298049,21.3,38.5
63,6,-17,Curveball,78.0,0,2909,0,23.1,13.1,.360,.374,35.8,13.9,43,100.380055488,94.621298049,21.3,38.5
61,7,-15,Curveball,77.4,0,2715,0,23.1,13.1,.360,.374,35.8,13.9,43,100.380055488,94.621298049,21.3,38.5
12,8,19,4-Seam Fastball,94.3,1,2205,0,,,,,,,,,,,
15,10,17,4-Seam Fastball,93.9,0,2263,0,,,,,,,,,,,
34,4,3,Cutter,85.5,0,2407,0,,,,,,,,,,,
13,7,18,4-Seam Fastball,94.1,0,2318,0,,,,,,,,,,,
18,11,13,4-Seam Fastball,93.3,0,2158,0,,,,,,,,,,,
19,13,13,Sinker,92.8,0,2109,0,,,,,,,,,,,
18,13,14,Sinker,93.0,0,2111,0,,,,,,,,,,,
30,8,11,Splitter,81.4,1,1034,0,24.8,6.6,.309,.304,31.7,9.9,49.7,102.036574,95.660117,27.2,50.8
31,7,5,Cutter,86.8,0,2434,0,24.8,6.6,.309,.304,31.7,9.9,49.7,102.036574,95.660117,27.2,50.8
35,11,7,Splitter,80.5,0,1005,0,24.8,6.6,.309,.304,31.7,9.9,49.7,102.036574,95.660117,27.2,50.8
29,11,12,Splitter,81.6,0,1249,0,24.8,6.6,.309,.304,31.7,9.9,49.7,102.036574,95.660117,27.2,50.8
12,5,20,4-Seam Fastball,92.6,0,2289,0,24.8,6.6,.309,.304,31.7,9.9,49.7,102.036574,95.660117,27.2,50.8
17,11,14,4-Seam Fastball,93.8,1,2592,0,16.4,10.2,.379,.381,38.8,8.2,49.2,100.675267935,94.91163765,21.2,46
36,15,0,Changeup,88.4,0,1666,0,16.4,10.2,.379,.381,38.8,8.2,49.2,100.675267935,94.91163765,21.2,46
17,9,16,4-Seam Fastball,92.8,0,2612,0,16.4,10.2,.379,.381,38.8,8.2,49.2,100.675267935,94.91163765,21.2,46
26,17,5,Sinker,94.1,0,2401,0,24.6,9.4,.345,.333,28.9,7.2,51,103.443621443,96.519125907,26.6,47.5
15,7,16,4-Seam Fastball,94.1,0,2539,0,24.6,9.4,.345,.333,28.9,7.2,51,103.443621443,96.519125907,26.6,47.5
15,10,15,4-Seam Fastball,95.0,0,2609,0,24.6,9.4,.345,.333,28.9,7.2,51,103.443621443,96.519125907,26.6,47.5
